data,close,volume
2010/8/17,43.99,37585 
2010/8/18,43.84,42902 
2010/8/19,44.21,45817 
2010/8/20,44.07,30113 
2010/8/23,44.21,27931 
2010/8/24,43.84,31275 
2010/8/25,43.18,70618 
2010/8/26,43.26,35255 
2010/8/27,43.26,46789 
2010/8/30,43.7,27638 
2010/8/31,43.33,78362 
2010/9/1,43.48,38480 
2010/9/2,43.77,27402 
2010/9/3,43.99,38339 
2010/9/6,44.51,28120 
2010/9/7,44.29,20268 
2010/9/8,43.62,67149 
2010/9/9,43.77,21237 
2010/9/10,43.62,32650 
2010/9/13,44.8,86955 
2010/9/14,44.87,33545 
2010/9/15,45.02,42375 
2010/9/16,44.51,27918 
2010/9/17,45.02,49430 
2010/9/20,45.61,66009 
2010/9/21,45.46,32745 
2010/9/23,44.14,106308 
2010/9/24,44.21,60417 
2010/9/27,44.65,60795 
2010/9/28,44.87,48385 
2010/9/29,45.24,79797 
2010/9/30,45.61,59691 
2010/10/1,45.61,39000 
2010/10/4,45.54,25797 
2010/10/5,44.95,30388 
2010/10/6,45.46,34183 
2010/10/7,45.1,39333 
2010/10/8,45.46,58237 
2010/10/11,45.24,24646 
2010/10/12,44.87,28094 
2010/10/13,44.87,31040 
2010/10/14,45.46,48827 
2010/10/15,45.54,30492 
2010/10/18,44.51,32530 
2010/10/19,44.65,36089 
2010/10/20,44.87,34490 
2010/10/21,44.87,40237 
2010/10/22,45.46,42971 
2010/10/25,45.61,38700 
2010/10/26,45.83,37964 
2010/10/27,45.61,28106 
2010/10/28,46.13,62152 
2010/10/29,46.2,67950 
2010/11/1,46.71,76412 
2010/11/2,46.57,24422 
2010/11/3,47.01,45944 
2010/11/4,47.01,32789 
2010/11/5,47.23,44439 
2010/11/8,46.57,25993 
2010/11/9,47.08,25859 
2010/11/10,47.23,40350 
2010/11/11,46.86,31729 
2010/11/12,46.35,29717 
2010/11/15,47.01,27654 
2010/11/16,47.45,57574 
2010/11/17,46.93,51389 
2010/11/18,46.57,39098 
2010/11/19,46.86,23828 
2010/11/22,46.93,25455 
2010/11/23,46.64,31197 
2010/11/24,46.49,29838 
2010/11/25,47.38,35239 
2010/11/26,47.38,34464 
2010/11/29,47.3,35816 
2010/11/30,46.64,70250 
2010/12/1,47.52,58436 
2010/12/2,48.7,88027 
2010/12/3,50.25,130917 
2010/12/6,50.39,58841 
2010/12/7,50.02,59039 
2010/12/8,50.02,47351 
2010/12/9,51.5,91627 
2010/12/10,51.27,32865 
2010/12/13,51.05,38255 
2010/12/14,50.76,58489 
2010/12/15,51.5,57589 
2010/12/16,52.38,66209 
2010/12/17,53.63,111499 
2010/12/20,52.38,93319 
2010/12/21,52.45,63310 
2010/12/22,52.38,27073 
2010/12/23,52.23,35614 
2010/12/24,52.08,56586 
